n_nodos R alpha CityArea
200 250 0.15 2323
ID_Nodo Costo_C Demanda_D Potencia_f Rango_s Es_Remoto_T
0 2751733 3739 3273 54 0
1 838467 4017 2516 35 0
2 1192875 4690 3030 38 0
3 1961953 4360 2792 21 0
4 1425720 374 1170 21 1
5 824320 710 1812 27 1
6 239262 3200 2511 46 0
7 304950 499 844 40 1
8 1198861 1175 1637 36 0
9 2191190 4879 3076 76 0
10 3439435 1750 2195 61 0
11 2431430 1960 2125 66 0
12 2355763 2296 2374 24 0
13 2707283 1818 1571 20 0
14 1945411 200 1202 77 1
15 2718082 2692 2101 72 0
16 2318849 3039 2468 35 0
17 1718597 1412 2145 67 0
18 654278 4916 3932 68 0
19 2460751 142 1218 53 1
20 484048 2156 1999 28 0
21 1799717 4414 2754 39 0
22 310474 4111 3247 63 0
23 1234649 3130 2255 29 0
24 515720 4295 3165 67 0
25 3478260 4630 3409 53 0
26 1182610 2991 2326 57 0
27 1561554 3426 2667 66 0
28 700851 2036 2248 36 0
29 2766487 2144 1703 52 0
30 1462073 3566 2732 27 0
31 2527689 2439 2577 27 0
32 341067 3243 2168 67 0
33 352083 2588 2525 38 0
34 2919248 1635 1599 61 0
35 1809245 1124 1740 56 0
36 3404498 2324 2017 32 0
37 1195906 4739 3614 74 0
38 121930 2928 2728 36 0
39 372165 4607 3660 57 0
40 1248991 3813 2684 51 0
41 2097869 274 728 69 1
42 1688442 3576 2680 58 0
43 1886496 157 801 37 1
44 2145366 4528 3738 69 0
45 2863255 4265 2980 59 0
46 3003947 2459 2632 69 0
47 2942461 3511 2561 62 0
48 1560824 1367 1641 64 0
49 1980579 1532 1858 67 0
50 950427 2322 1935 23 0
51 218452 3552 2949 27 0
52 1815013 345 1207 74 1
53 2154288 550 1579 58 1
54 850023 2712 2819 31 0
55 2062414 4737 3411 66 0
56 354094 3346 2720 41 0
57 2740037 372 1605 64 1
58 1053124 3129 2399 76 0
59 745929 1330 1686 32 0
60 2740229 3377 2390 31 0
61 1481640 1855 1977 60 0
62 2114843 3704 2535 50 0
63 2357609 140 907 76 1
64 2756267 383 1115 21 1
65 320530 320 1498 40 1
66 2539751 1678 1870 57 0
67 1627926 2379 1760 77 0
68 1605243 3644 2660 46 0
69 618855 718 1147 52 1
70 1473960 3419 3168 29 0
71 1843784 2658 2434 57 0
72 2007162 1834 1946 48 0
73 262581 2818 2025 64 0
74 3222167 2519 2244 52 0
75 1676717 2931 2728 51 0
76 1772346 2645 2508 31 0
77 3286796 961 1668 44 0
78 2562976 3902 3400 45 0
79 1300928 3224 2130 41 0
80 1176589 3959 2829 58 0
81 1486973 2821 2903 67 0
82 773337 3473 2376 35 0
83 421779 4706 3600 48 0
84 2112502 4192 3051 40 0
85 368215 1610 1573 65 0
86 644136 2479 2554 21 0
87 310891 1011 1939 75 0
88 1215252 1276 1588 63 0
89 2687207 1715 1482 75 0
90 830074 2453 1960 31 0
91 834958 3758 2635 59 0
92 374011 4970 3460 24 0
93 3285347 889 1155 73 1
94 1382930 465 797 79 1
95 2275682 3657 2682 75 0
96 1970098 3028 2669 51 0
97 875980 2755 2648 68 0
98 1097215 2282 1789 23 0
99 2034298 2200 2435 41 0
100 2187905 4710 3624 78 0
101 141025 2825 2469 32 0
102 2065088 971 1614 59 0
103 1795756 4627 3645 68 0
104 114030 3317 2757 44 0
105 1988486 1976 2003 52 0
106 2443701 1463 1497 51 0
107 1976373 4001 3435 34 0
108 2963256 2711 1936 71 0
109 588182 664 1126 79 1
110 1806869 4734 3709 79 0
111 2274201 4554 3751 34 0
112 2595359 101 1466 31 1
113 2397434 2205 1835 65 0
114 2580373 2039 1815 21 0
115 2007281 2208 1775 22 0
116 3470310 3427 2535 68 0
117 835668 3710 3273 27 0
118 2493757 835 1526 67 1
119 269613 929 1799 77 1
120 2264132 1912 1493 27 0
121 3252886 741 1070 37 1
122 2418952 3451 2962 42 0
123 3232236 3464 3190 43 0
124 565335 3456 3200 26 0
125 3295203 2173 2538 25 0
126 1127346 504 860 75 1
127 2887419 4061 3451 31 0
128 554637 4669 3479 44 0
129 1257754 3226 2605 25 0
130 3428781 4744 2955 57 0
131 258694 185 1022 70 1
132 1853521 1114 1840 37 0
133 1854024 4322 2884 51 0
134 607727 2478 1931 44 0
135 1597613 2457 2591 68 0
136 2203546 4123 2773 75 0
137 3344282 2859 2731 44 0
138 2787874 2939 2910 70 0
139 2743728 128 564 46 1
140 2482395 4400 3453 52 0
141 3044736 3432 2780 65 0
