n_nodos R alpha CityArea
200 250 0 2323
ID_Nodo Costo_C Demanda_D Potencia_f Rango_s Es_Remoto_T
0 2621905 4587 3078 27 0
1 2338661 1697 2080 53 0
2 545744 3968 2775 57 0
3 2543937 2672 2494 37 0
4 2023633 3738 2556 42 0
5 3362119 3210 2418 42 0
6 1582561 2504 2450 63 0
7 1628973 3837 3221 54 0
8 102481 2535 2182 35 0
9 1200578 1498 1982 66 0
10 256937 2924 1974 37 0
11 344421 3146 2203 50 0
12 3401615 3609 3183 31 0
13 3393710 1718 1680 50 0
14 2515221 4245 2826 60 0
15 262976 2853 2752 31 0
16 2577390 3304 2651 53 0
17 2112498 655 1778 39 1
18 1967500 2705 1869 50 0
19 992153 901 1226 20 0
20 2698732 762 1579 74 1
21 1203486 887 1528 61 1
22 813564 3616 3055 45 0
23 1802022 3210 3007 69 0
24 2519039 30 1475 75 1
25 736022 4589 3122 73 0
26 3489963 924 1932 71 0
27 2512859 4298 3200 28 0
28 1646639 2583 2445 55 0
29 3147714 3241 3067 64 0
30 1573057 803 1620 45 1
31 2432976 3124 2593 22 0
32 738509 4189 3219 59 0
33 1542367 4221 2782 63 0
34 2436643 2299 1704 75 0
35 1391637 2692 1991 42 0
36 3449111 4320 3398 23 0
37 1854832 1330 1728 64 0
38 2780616 3663 2910 65 0
39 3080516 3321 2780 32 0
40 1169939 1725 1918 42 0
41 438504 4541 3261 27 0
42 937383 4227 3085 23 0
43 135492 4487 2760 78 0
44 390761 1779 2385 79 0
45 2977113 2444 2371 61 0
46 1275799 101 763 56 1
47 1755980 2009 2015 69 0
48 2203739 136 871 60 1
49 452788 1771 1399 26 0
50 1085092 1455 1245 50 0
51 635038 3179 2174 41 0
52 2591860 3362 2400 65 0
53 3307975 1385 1420 54 0
54 797738 1719 2174 51 0
55 1626048 707 1093 22 1
56 517593 1568 1501 64 0
57 1774286 4920 3797 36 0
58 1097961 4371 3622 76 0
59 1097608 2113 2019 53 0
60 3297576 3484 2843 25 0
61 2762709 2851 2676 61 0
62 2906249 1737 1979 37 0
63 2523244 4190 2614 55 0
64 3210425 4192 2608 43 0
65 3105967 964 1381 40 0
66 2455621 3567 3143 55 0
67 1249141 2925 2575 57 0
68 3166048 2017 2413 62 0
69 3295018 3816 3386 27 0
70 3384104 2006 2370 58 0
71 593394 1324 2149 61 0
72 1430178 2492 1896 65 0
73 1653066 946 1749 76 0
74 990780 3865 2949 42 0
75 858807 2449 1847 74 0
76 1894197 445 1428 61 1
77 955474 4148 3217 56 0
78 1190069 1464 1698 21 0
79 248776 1081 1105 52 0
80 1875189 838 1770 49 1
81 1203543 1742 1573 46 0
82 1071429 942 1578 38 0
83 990619 2057 1557 46 0
